CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15004,134,11,3,2,19,84.0562210083008,6.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,01
15004,134,11,4,1,10,84.0562210083008,3.0,0,0,,,,0,0,,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,01
15004,161,11,1,2,69,84.0562210083008,5.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,1,10568.7939453125,8328.72265625,1,3,10568.7939453125,01
15005,2,11,1,1,65,79.8167572021484,6.0,1,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,31306.654296875,15915.5986328125,1,3,31306.654296875,01
15005,24,11,1,1,61,79.8167572021484,8.0,1,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,2,2,59,79.8167572021484,6.0,1,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,3,2,33,79.8167572021484,11.0,1,1,0.0,0.0,0.0,1,0,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,4,2,15,79.8167572021484,5.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,5,2,29,79.8167572021484,11.0,1,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,6,2,11,79.8167572021484,3.0,0,0,,,,0,0,,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,7,2,92,79.8167572021484,3.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,24,11,8,2,69,79.8167572021484,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,01
15005,46,11,1,1,58,79.8167572021484,11.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,01
15005,46,11,2,2,51,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,01
15005,46,11,3,1,26,79.8167572021484,9.0,1,1,0.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,01
15005,46,11,4,1,19,79.8167572021484,9.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,01
15005,57,11,1,1,62,79.8167572021484,5.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,01
15005,57,11,2,2,54,79.8167572021484,1.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,01
15005,57,11,3,1,32,79.8167572021484,10.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,01
15005,57,11,4,1,12,79.8167572021484,4.0,0,0,,,,0,0,,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,01
15005,69,11,1,2,39,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,0,1,138688.0,40699.83203125,1,3,138688.0,01
15005,90,11,1,2,82,79.8167572021484,8.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,01
15005,90,11,2,2,80,79.8167572021484,4.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,01
15005,90,11,3,1,69,79.8167572021484,11.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,01
15005,90,11,4,1,16,79.8167572021484,6.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,01
15005,101,11,1,2,61,79.8167572021484,4.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,45588.25,39256.8359375,2,3,22794.125,01
15005,101,11,2,1,36,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,45588.25,39256.8359375,2,3,22794.125,01
15006,13,11,1,1,63,112.07495880127,3.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,0,1,12983.2099609375,12711.5478515625,2,3,6491.60498046875,01
15006,13,11,2,2,71,112.07495880127,3.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,12983.2099609375,12711.5478515625,2,3,6491.60498046875,01
15006,13,11,3,2,36,112.07495880127,,0,0,,,,0,0,,10101,4,4,0,1,12983.2099609375,12711.5478515625,2,3,6491.60498046875,01
15006,13,11,4,1,7,112.07495880127,,0,0,,,,0,0,,10101,4,4,0,1,12983.2099609375,12711.5478515625,2,3,6491.60498046875,01
15006,13,11,5,1,2,112.07495880127,,0,0,,,,0,0,,10101,4,4,0,1,12983.2099609375,12711.5478515625,2,3,6491.60498046875,01
15006,27,11,1,1,73,112.07495880127,3.0,0,0,1.0,1.0,1.0,0,1,1.0,10101,4,4,0,1,8993.14453125,8784.48046875,3,2,2997.71484375,01
15006,27,11,2,2,71,112.07495880127,1.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,0,1,8993.14453125,8784.48046875,3,2,2997.71484375,01
15006,27,11,3,1,34,112.07495880127,5.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,8993.14453125,8784.48046875,3,2,2997.71484375,01
15006,50,11,1,1,38,112.07495880127,6.0,0,0,1.0,0.0,0.0,1,1,1.0,10101,4,4,0,1,127551.609375,44404.94140625,4,3,31887.90234375,01
15006,50,11,2,2,41,112.07495880127,6.0,1,1,1.0,0.0,0.0,1,1,1.0,10101,4,4,0,1,127551.609375,44404.94140625,4,3,31887.90234375,01
15006,50,11,3,2,20,112.07495880127,6.0,0,1,1.0,1.0,1.0,1,1,1.0,10101,4,4,0,1,127551.609375,44404.94140625,4,3,31887.90234375,01
